sub_num,iBlock,iTrial,list_id,practice,prime,prime_natural,target,target_natural,distractor,prime_left,same,natural_left,mask1,mask2,mask3,fix_duration,mask1_duration,mask2_duration,prime_duration,mask3_duration,target_duration,fix_time,mask1_time,mask2_time,prime_time,mask3_time,target_time,categor_time,recog_time,pas_time,target_x_to,target_y_to,target_z_to,target_timecourse_to,target_x_from,target_y_from,target_z_from,target_timecourse_from,target_ans_left,target_ans_nat,target_correct,target_rt,prime_x_to,prime_y_to,prime_z_to,prime_timecourse_to,prime_x_from,prime_y_from,prime_z_from,prime_timecourse_from,prime_ans_left,prime_correct,prime_rt,pas,pas_rt,trial_start_time,trial_end_time
NaN,1,25,NaN,1,חיתול,0,רעמים,1,מסגרת,0,0,NaN,78,55,47,1,0.27,0.03,0.03,0.03,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
NaN,1,26,NaN,1,חיתול,0,חיתול,0,מסטיק,1,1,NaN,76,53,69,1,0.27,0.03,0.03,0.03,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
NaN,1,27,NaN,1,פילים,1,שטרות,0,בננות,1,0,NaN,48,64,87,1,0.27,0.03,0.03,0.03,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
NaN,1,28,NaN,1,בננות,1,מכונה,0,גשמים,1,0,NaN,71,39,89,1,0.27,0.03,0.03,0.03,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
NaN,1,29,NaN,1,אגמים,1,אגמים,1,סופות,0,1,NaN,49,66,31,1,0.27,0.03,0.03,0.03,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
NaN,1,30,NaN,1,זחלים,1,זחלים,1,גייזר,1,1,NaN,47,63,80,1,0.27,0.03,0.03,0.03,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
NaN,1,31,NaN,1,קוקוס,1,קוקוס,1,רעמים,0,1,NaN,76,82,48,1,0.27,0.03,0.03,0.03,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
NaN,1,32,NaN,1,עננים,1,רובוט,0,חולות,0,0,NaN,85,44,40,1,0.27,0.03,0.03,0.03,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
NaN,1,33,NaN,1,חולות,1,חולות,1,אגמים,1,1,NaN,55,81,67,1,0.27,0.03,0.03,0.03,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
NaN,1,34,NaN,1,תותים,1,מקלחת,0,אריות,1,0,NaN,42,66,70,1,0.27,0.03,0.03,0.03,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
NaN,1,35,NaN,1,קופסה,0,קופסה,0,מקלחת,0,1,NaN,66,77,76,1,0.27,0.03,0.03,0.03,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
NaN,1,36,NaN,1,חולות,1,אגורה,0,עננים,0,0,NaN,43,32,67,1,0.27,0.03,0.03,0.03,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
NaN,1,37,NaN,1,זחלים,1,צינור,0,פרעוש,0,0,NaN,68,76,69,1,0.27,0.03,0.03,0.03,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
NaN,1,38,NaN,1,מסגרת,0,קליפה,1,חולצה,0,0,NaN,72,81,35,1,0.27,0.03,0.03,0.03,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
NaN,1,39,NaN,1,רובוט,0,גייזר,1,משקפת,0,0,NaN,86,80,79,1,0.27,0.03,0.03,0.03,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
NaN,1,40,NaN,1,שבשבת,0,גשמים,1,אגורה,1,0,NaN,88,78,31,1,0.27,0.03,0.03,0.03,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
